,#YY,MM,DD,hh,mm,WDIR,WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
5031,2020,2,5,0,40,340,4.8,6.0,1.98,10.0,7.42,269,1019.3,13.3,999.0,-4.5,99,99
5037,2020,2,5,1,40,327,4.6,6.0,1.82,10.81,7.59,271,1019.7,13.4,999.0,-6.0,99,99
5043,2020,2,5,2,40,321,5.9,7.5,1.71,12.12,7.66,269,1020.4,13.3,999.0,-1.5,99,99
5049,2020,2,5,3,40,321,5.6,7.1,1.97,11.43,7.78,282,1020.8,13.5,999.0,-0.2,99,99
5055,2020,2,5,4,40,315,6.0,8.2,1.82,11.43,7.21,266,1021.3,13.8,999.0,1.4,99,99
5061,2020,2,5,5,40,320,7.5,9.4,1.83,11.43,6.76,267,1022.2,13.7,999.0,3.2,99,99
5067,2020,2,5,6,40,322,8.0,9.6,1.9,11.43,6.46,280,1022.0,13.5,999.0,4.3,99,99
5073,2020,2,5,7,40,328,7.4,9.5,1.86,10.81,6.49,282,1021.8,13.4,999.0,4.6,99,99
5079,2020,2,5,8,40,322,8.6,10.7,1.68,10.81,5.82,281,1021.9,13.1,999.0,5.9,99,99
5085,2020,2,5,9,40,316,7.5,9.1,1.8,11.43,5.84,277,1021.4,13.1,999.0,5.5,99,99
5091,2020,2,5,10,40,319,7.1,8.6,1.73,10.81,6.0,268,1021.4,13.3,999.0,4.7,99,99
5097,2020,2,5,11,40,327,6.5,8.2,1.6,13.79,6.17,262,1021.1,13.5,999.0,3.0,99,99
5103,2020,2,5,12,40,331,3.9,5.4,1.69,10.81,6.44,272,1021.2,13.5,999.0,1.6,99,99
5109,2020,2,5,13,40,332,3.8,5.5,1.55,12.12,6.48,269,1021.4,13.5,999.0,2.6,99,99
5115,2020,2,5,14,40,322,3.2,5.0,1.62,10.81,6.77,270,1021.9,13.5,999.0,1.9,99,99
5121,2020,2,5,15,40,322,2.1,3.5,1.55,12.12,6.69,268,1022.5,13.6,999.0,2.2,99,99
5127,2020,2,5,16,40,318,1.3,2.5,1.57,11.43,6.94,267,1023.1,13.7,999.0,1.5,99,99
5133,2020,2,5,17,40,312,1.2,2.4,1.39,10.81,6.62,263,1023.4,13.8,999.0,1.8,99,99
5139,2020,2,5,18,40,246,1.0,2.1,1.49,10.0,6.81,272,1023.3,13.9,999.0,1.7,99,99
5145,2020,2,5,19,40,229,0.2,1.1,1.36,11.43,6.7,276,1022.9,14.4,999.0,1.5,99,99
5151,2020,2,5,20,40,255,2.2,3.3,1.4,11.43,7.01,275,1021.7,13.9,999.0,3.1,99,99
5157,2020,2,5,21,40,247,2.4,3.4,1.24,10.81,6.73,268,1020.8,13.9,999.0,2.6,99,99
5163,2020,2,5,22,40,274,3.3,4.6,1.34,10.0,7.05,273,1020.4,13.8,999.0,2.6,99,99
5169,2020,2,5,23,40,306,3.6,5.5,1.24,10.0,6.9,269,1020.4,13.8,999.0,3.3,99,99
5175,2020,2,6,0,40,284,4.3,5.7,1.29,10.0,6.86,268,1020.3,13.5,999.0,6.9,99,99
5181,2020,2,6,1,40,264,3.7,5.2,1.22,10.81,6.52,261,1020.3,13.5,999.0,6.2,99,99
5187,2020,2,6,2,40,275,3.1,4.2,1.26,10.0,6.75,267,1021.1,13.4,999.0,5.3,99,99
5193,2020,2,6,3,40,273,2.8,3.6,1.14,10.81,6.45,272,1021.2,13.2,999.0,5.2,99,99
5199,2020,2,6,4,40,267,3.8,5.2,1.32,10.0,6.95,294,1021.4,13.2,999.0,5.6,99,99
5205,2020,2,6,5,40,267,4.0,5.5,1.25,10.81,6.72,261,1021.7,13.2,999.0,5.5,99,99
5211,2020,2,6,6,40,267,3.0,4.0,1.2,10.0,6.68,269,1021.7,13.1,999.0,6.3,99,99
5217,2020,2,6,7,40,290,1.4,2.2,1.22,10.81,6.69,257,1021.7,13.0,999.0,6.2,99,99
5223,2020,2,6,8,40,250,1.6,2.5,1.17,10.81,6.6,269,1021.6,13.0,999.0,6.4,99,99
5229,2020,2,6,9,40,275,0.6,1.6,1.14,11.43,6.62,275,1021.5,12.9,999.0,6.1,99,99
5235,2020,2,6,10,40,233,0.5,1.4,1.11,10.0,6.38,274,1021.4,12.9,999.0,6.5,99,99
5241,2020,2,6,11,40,157,0.2,0.8,1.16,10.0,6.75,266,1021.0,12.7,999.0,6.4,99,99
5247,2020,2,6,12,40,137,0.6,1.7,1.12,11.43,6.84,266,1020.7,12.8,999.0,6.5,99,99
5253,2020,2,6,13,40,131,1.3,2.5,1.19,11.43,7.01,266,1020.7,12.9,999.0,6.6,99,99
5259,2020,2,6,14,40,154,1.5,2.5,1.18,11.43,6.98,273,1021.1,13.1,999.0,7.0,99,99
5265,2020,2,6,15,40,162,2.3,3.3,1.07,10.81,6.73,259,1021.3,13.3,999.0,7.2,99,99
5271,2020,2,6,16,40,170,1.9,3.0,1.12,10.81,6.78,271,1021.7,13.5,999.0,7.2,99,99
5277,2020,2,6,17,40,181,2.2,2.8,1.06,10.0,6.58,264,1021.6,13.5,999.0,6.9,99,99
5283,2020,2,6,18,40,219,2.0,2.9,1.18,10.0,6.79,266,1021.6,13.5,999.0,7.3,99,99
5289,2020,2,6,19,40,221,1.9,2.6,1.16,10.0,6.54,268,1020.8,13.6,999.0,7.8,99,99
5295,2020,2,6,20,40,243,2.2,3.5,1.07,17.39,6.47,114,1019.6,13.5,999.0,8.2,99,99
5301,2020,2,6,21,40,259,2.4,3.4,1.12,9.09,6.47,272,1018.9,13.7,999.0,9.1,99,99
5307,2020,2,6,22,40,269,2.4,3.3,1.09,10.0,6.24,258,1018.6,13.7,999.0,9.3,99,99
5313,2020,2,6,23,40,261,2.0,3.7,1.1,10.0,6.61,259,1018.2,13.8,999.0,8.9,99,99
5319,2020,2,7,0,40,247,2.2,3.3,1.13,10.0,6.8,264,1018.0,13.8,999.0,8.6,99,99
5325,2020,2,7,1,40,239,2.3,3.4,1.05,9.09,6.81,265,1018.0,13.4,999.0,8.8,99,99
5331,2020,2,7,2,40,274,1.8,2.8,1.15,8.33,6.86,265,1018.4,13.4,999.0,9.1,99,99
5337,2020,2,7,3,40,326,0.9,1.8,1.1,16.0,7.31,224,1018.9,13.3,999.0,9.3,99,99
5343,2020,2,7,4,40,330,1.3,2.2,1.22,9.09,7.5,274,1019.2,13.4,999.0,9.6,99,99
5349,2020,2,7,5,40,312,1.0,2.3,1.12,9.09,6.95,267,1019.4,13.4,999.0,9.8,99,99
5355,2020,2,7,6,40,20,1.6,2.3,1.11,9.09,7.03,268,1019.3,13.6,999.0,9.9,99,99
5361,2020,2,7,7,40,341,1.5,2.4,1.08,16.0,7.19,201,1018.9,13.5,999.0,9.8,99,99
5367,2020,2,7,8,40,338,0.2,0.8,0.99,10.81,6.74,279,1018.6,13.4,999.0,10.0,99,99
5373,2020,2,7,9,40,289,0.2,0.9,0.92,16.0,6.88,162,1018.8,13.3,999.0,10.1,99,99
5379,2020,2,7,10,40,346,1.1,1.5,0.87,16.0,6.91,212,1018.4,13.3,999.0,10.2,99,99
5385,2020,2,7,11,40,236,0.8,1.5,0.86,16.0,6.96,236,1018.4,13.3,999.0,10.2,99,99
5391,2020,2,7,12,40,263,1.7,2.4,0.88,16.0,7.28,200,1018.7,13.3,999.0,10.3,99,99
5397,2020,2,7,13,40,309,1.4,2.4,0.93,16.0,7.59,184,1018.7,13.4,999.0,10.3,99,99
5403,2020,2,7,14,40,317,2.1,2.8,0.9,16.0,7.29,200,1019.1,13.5,999.0,10.2,99,99
5409,2020,2,7,15,40,289,2.8,3.7,0.94,14.81,7.55,254,1019.5,13.8,999.0,10.3,99,99
5415,2020,2,7,16,40,320,1.8,2.9,1.08,14.81,7.62,192,1019.8,13.9,999.0,9.7,99,99
5421,2020,2,7,17,40,324,2.2,3.2,0.97,16.0,7.33,198,1020.0,14.0,999.0,9.9,99,99
5427,2020,2,7,18,40,309,2.1,3.0,1.05,16.0,6.84,204,1020.1,14.0,999.0,9.9,99,99
5433,2020,2,7,19,40,316,1.9,2.9,1.11,9.09,7.01,264,1019.6,14.2,999.0,9.7,99,99
5439,2020,2,7,20,40,309,3.4,4.3,0.96,14.81,6.66,188,1018.9,14.1,999.0,10.6,99,99
5445,2020,2,7,21,40,305,4.3,5.5,1.02,14.81,6.76,218,1017.9,14.2,999.0,11.0,99,99
5451,2020,2,7,22,40,314,3.9,4.9,0.99,14.81,6.48,232,1017.6,14.1,999.0,11.3,99,99
5457,2020,2,7,23,40,302,3.2,4.1,0.94,14.81,6.96,265,1017.4,14.0,999.0,11.0,99,99
5463,2020,2,8,0,40,307,2.9,4.0,0.91,13.79,7.15,246,1017.2,14.0,999.0,11.0,99,99
5469,2020,2,8,1,40,313,3.0,4.1,0.97,14.81,7.19,220,1017.3,14.0,999.0,11.6,99,99
5475,2020,2,8,2,40,299,3.3,4.2,0.99,14.81,7.39,221,1017.2,13.9,999.0,11.6,99,99
5481,2020,2,8,3,40,290,3.6,4.5,0.9,12.9,7.43,258,1017.3,13.7,999.0,11.3,99,99
5487,2020,2,8,4,40,289,3.8,4.7,0.95,12.9,7.54,274,1017.7,13.8,999.0,11.4,99,99
5493,2020,2,8,5,40,275,4.3,5.5,1.01,14.81,7.86,178,1018.0,13.7,999.0,11.5,99,99
5499,2020,2,8,6,40,284,4.3,5.3,0.9,13.79,6.55,250,1018.3,13.7,999.0,11.5,99,99
5505,2020,2,8,7,40,288,4.4,5.3,0.83,14.81,5.82,236,1018.4,13.6,999.0,11.3,99,99
5511,2020,2,8,8,40,283,4.0,5.4,0.89,14.81,6.22,235,1018.2,13.5,999.0,10.9,99,99
5517,2020,2,8,9,40,288,3.6,4.4,0.93,14.81,6.34,199,1017.9,13.3,999.0,10.6,99,99
5523,2020,2,8,10,40,302,3.8,4.8,0.91,13.79,6.31,250,1017.5,13.2,999.0,10.6,99,99
5529,2020,2,8,11,40,324,3.7,4.8,1.03,14.81,7.47,200,1017.0,13.2,999.0,10.7,99,99
5535,2020,2,8,12,40,333,3.3,4.5,1.0,14.81,7.21,213,1017.0,13.3,999.0,11.0,99,99
5541,2020,2,8,13,40,342,0.9,1.9,1.0,14.81,7.48,217,1016.8,13.5,999.0,11.3,99,99
5547,2020,2,8,14,40,325,0.8,2.2,0.98,14.81,7.23,220,1017.1,13.8,999.0,10.9,99,99
5553,2020,2,8,15,40,320,2.0,2.9,1.04,14.81,7.81,249,1017.0,13.7,999.0,11.2,99,99
5559,2020,2,8,16,40,354,2.3,3.4,1.0,14.81,7.53,275,1017.0,14.0,999.0,10.7,99,99
5565,2020,2,8,17,40,319,3.2,5.1,1.1,13.79,7.87,251,1017.5,13.8,999.0,10.9,99,99
5571,2020,2,8,18,40,310,3.4,4.4,1.17,14.81,7.89,211,1017.8,13.9,999.0,10.8,99,99
5577,2020,2,8,19,40,284,3.9,5.1,1.04,13.79,7.39,253,1017.2,13.8,999.0,10.8,99,99
5583,2020,2,8,20,40,278,3.7,4.8,1.01,14.81,6.85,243,1016.1,13.7,999.0,10.4,99,99
5589,2020,2,8,21,40,266,4.4,5.5,1.01,14.81,6.8,200,1015.1,13.5,999.0,10.3,99,99
5595,2020,2,8,22,40,279,5.3,6.6,1.03,13.79,6.76,237,1014.5,13.4,999.0,10.3,99,99
5601,2020,2,8,23,40,286,5.4,6.7,1.1,13.79,6.67,233,1014.3,13.3,999.0,10.2,99,99
5607,2020,2,9,0,40,279,4.9,6.1,1.03,12.9,6.44,251,1014.4,13.1,999.0,10.2,99,99
5613,2020,2,9,1,40,280,4.8,6.1,1.14,13.79,7.28,256,1014.2,12.9,999.0,10.2,99,99
5619,2020,2,9,2,40,279,4.7,6.8,1.15,13.79,7.24,241,1014.6,12.6,999.0,10.2,99,99
5625,2020,2,9,3,40,268,4.4,6.1,1.16,13.79,7.23,262,1014.6,12.5,999.0,9.8,99,99
5631,2020,2,9,4,40,270,2.9,5.3,1.2,13.79,7.22,264,1014.5,12.9,999.0,9.8,99,99
5637,2020,2,9,5,40,270,2.6,5.0,1.23,14.81,7.01,267,1014.6,12.8,999.0,9.8,99,99
5643,2020,2,9,6,40,242,2.9,5.5,1.17,13.79,7.02,231,1014.2,12.4,999.0,9.5,99,99
5649,2020,2,9,7,40,248,3.1,5.2,1.21,12.9,6.87,221,1013.9,12.7,999.0,9.6,99,99
5655,2020,2,9,8,40,243,3.9,5.6,1.15,13.79,6.35,227,1013.7,12.8,999.0,9.8,99,99
5661,2020,2,9,9,40,230,4.8,7.0,1.15,13.79,6.38,210,1013.3,13.0,999.0,9.8,99,99
5667,2020,2,9,10,40,252,4.7,6.1,1.08,12.9,6.23,255,1012.8,13.0,999.0,9.9,99,99
5673,2020,2,9,11,40,238,5.2,6.4,1.23,13.79,6.02,231,1012.3,12.8,999.0,9.8,99,99
5679,2020,2,9,12,40,230,6.2,8.7,1.43,13.79,6.43,239,1012.0,12.5,999.0,10.1,99,99
5685,2020,2,9,13,40,248,6.4,8.6,1.23,13.79,6.54,217,1011.5,12.4,999.0,9.5,99,99
5691,2020,2,9,14,40,254,5.7,7.8,1.32,12.9,6.36,242,1012.1,12.6,999.0,8.7,99,99
5697,2020,2,9,15,40,259,6.6,8.6,1.31,12.9,6.26,247,1011.9,12.6,999.0,7.8,99,99
5703,2020,2,9,16,40,251,7.4,9.3,1.49,12.12,6.62,258,1011.8,12.9,999.0,7.6,99,99
5709,2020,2,9,17,40,229,5.6,8.1,1.6,13.79,6.77,264,1011.9,12.8,999.0,8.1,99,99
5715,2020,2,9,18,40,222,4.7,7.3,1.72,10.0,7.11,270,1011.6,13.2,999.0,8.2,99,99
5721,2020,2,9,19,40,241,6.3,7.9,1.76,12.9,6.63,252,1010.6,13.7,999.0,8.1,99,99
5727,2020,2,9,20,40,229,5.6,7.0,1.94,10.0,7.0,267,1009.9,13.6,999.0,8.0,99,99
5733,2020,2,9,21,40,242,6.2,7.9,2.19,12.9,7.74,257,1008.9,13.9,999.0,8.1,99,99
5739,2020,2,9,22,40,241,5.8,7.4,2.02,11.43,7.21,271,1008.4,13.6,999.0,9.4,99,99
5745,2020,2,9,23,40,252,7.2,8.7,2.06,10.81,7.33,267,1008.2,13.5,999.0,10.0,99,99
5751,2020,2,10,0,40,244,7.2,8.9,2.03,12.9,7.2,256,1008.0,13.5,999.0,9.4,99,99
5757,2020,2,10,1,40,228,5.8,6.9,2.06,12.9,7.53,256,1008.0,13.5,999.0,9.2,99,99
5763,2020,2,10,2,40,209,5.6,6.6,1.99,12.9,7.59,273,1007.9,13.4,999.0,8.8,99,99
5769,2020,2,10,3,40,195,3.8,5.5,1.93,19.05,7.59,249,1008.3,13.5,999.0,7.8,99,99
5775,2020,2,10,4,40,170,3.3,4.8,2.16,13.79,8.6,264,1008.4,13.5,999.0,7.1,99,99
5781,2020,2,10,5,40,146,3.6,5.4,2.01,12.9,8.49,263,1008.3,13.6,999.0,6.8,99,99
5787,2020,2,10,6,40,160,3.3,5.0,1.89,12.9,8.19,269,1008.3,13.4,999.0,7.1,99,99
5793,2020,2,10,7,40,121,2.8,4.7,1.75,12.12,7.53,255,1008.4,13.5,999.0,6.8,99,99
5799,2020,2,10,8,40,39,6.7,8.4,1.73,12.9,7.42,264,1008.1,12.0,999.0,7.7,99,99
5805,2020,2,10,9,40,121,3.0,6.1,1.6,11.43,7.05,270,1008.6,11.1,999.0,6.3,99,99
5811,2020,2,10,10,40,12,4.7,5.8,1.63,12.12,6.9,271,1008.1,11.1,999.0,7.6,99,99
5817,2020,2,10,11,40,44,5.9,7.6,1.48,10.81,6.59,260,1008.7,11.1,999.0,7.9,99,99
5823,2020,2,10,12,40,67,3.9,5.2,1.55,17.39,7.49,251,1009.2,10.9,999.0,7.5,99,99
5829,2020,2,10,13,40,47,5.3,6.7,1.67,17.39,8.25,264,1009.5,10.8,999.0,8.0,99,99
5835,2020,2,10,14,40,37,4.9,6.3,1.68,17.39,8.48,251,1009.7,11.3,999.0,7.5,99,99
5841,2020,2,10,15,40,99,5.4,7.5,1.72,11.43,8.55,282,1010.4,12.1,999.0,7.7,99,99
5847,2020,2,10,16,40,80,4.2,6.1,1.82,11.43,8.55,286,1011.3,12.1,999.0,8.0,99,99
5853,2020,2,10,17,40,39,1.9,3.3,1.82,11.43,8.66,276,1012.0,12.0,999.0,8.9,99,99
5859,2020,2,10,18,40,283,0.9,2.0,1.64,17.39,8.15,265,1012.0,12.2,999.0,9.0,99,99
5865,2020,2,10,19,40,259,3.3,4.5,1.74,12.12,8.54,255,1011.6,12.4,999.0,8.4,99,99
5871,2020,2,10,20,40,249,2.8,3.9,1.83,12.12,8.44,279,1011.1,12.8,999.0,8.6,99,99
5877,2020,2,10,21,40,285,4.5,6.3,1.82,11.43,8.43,275,1011.0,13.6,999.0,9.0,99,99
5883,2020,2,10,22,40,284,4.4,5.9,1.86,11.43,8.16,280,1011.0,14.5,999.0,10.1,99,99
5889,2020,2,10,23,40,289,6.4,8.3,1.66,16.0,7.33,258,1011.2,14.7,999.0,10.8,99,99
5895,2020,2,11,0,40,285,5.6,7.1,1.74,12.12,7.18,267,1011.3,15.1,999.0,10.1,99,99
5901,2020,2,11,1,40,283,6.3,7.7,1.77,10.81,7.26,270,1011.8,15.2,999.0,9.7,99,99
5907,2020,2,11,2,40,307,6.5,8.0,1.74,16.0,7.21,264,1011.9,15.7,999.0,10.5,99,99
5913,2020,2,11,3,40,297,6.9,8.8,1.55,16.0,6.77,238,1012.3,15.8,999.0,10.6,99,99
5919,2020,2,11,4,40,296,7.3,8.9,1.55,10.81,6.54,272,1012.4,15.9,999.0,10.6,99,99
5925,2020,2,11,5,40,291,7.4,9.6,1.49,16.0,6.49,261,1012.6,15.7,999.0,11.1,99,99
5931,2020,2,11,6,40,294,7.3,9.2,1.48,14.81,6.39,266,1012.7,15.7,999.0,11.7,99,99
5937,2020,2,11,7,40,289,7.1,8.6,1.51,16.0,6.19,259,1012.9,15.5,999.0,11.8,99,99
5943,2020,2,11,8,40,299,6.7,8.2,1.49,10.81,6.22,269,1012.9,15.6,999.0,11.8,99,99
5949,2020,2,11,9,40,295,5.3,7.2,1.58,16.0,6.5,219,1013.1,15.6,999.0,12.0,99,99
5955,2020,2,11,10,40,337,3.6,4.6,1.48,10.0,6.03,277,1013.2,15.6,999.0,12.0,99,99
5961,2020,2,11,11,40,340,2.6,3.8,1.56,11.43,6.38,267,1013.2,15.7,999.0,12.0,99,99
5967,2020,2,11,12,40,360,2.2,3.2,1.45,14.81,6.27,243,1013.5,15.6,999.0,12.3,99,99
5973,2020,2,11,13,40,356,2.1,2.8,1.36,11.43,6.23,264,1014.2,15.3,999.0,13.0,99,99
5979,2020,2,11,14,40,52,1.8,2.8,1.33,11.43,6.35,240,1014.9,15.1,999.0,13.0,99,99
5985,2020,2,11,15,40,119,3.1,4.5,1.45,14.81,6.75,228,1015.8,15.1,999.0,12.9,99,99
5991,2020,2,11,16,40,129,3.2,4.3,1.38,13.79,6.64,255,1016.3,15.2,999.0,12.7,99,99
5997,2020,2,11,17,40,151,3.9,5.0,1.57,14.81,7.13,233,1017.0,15.3,999.0,12.5,99,99
6003,2020,2,11,18,40,177,3.2,4.2,1.52,14.81,6.64,290,1017.4,15.4,999.0,12.1,99,99
6009,2020,2,11,19,40,206,3.5,4.2,1.56,11.43,6.73,270,1017.3,15.5,999.0,12.4,99,99
6015,2020,2,11,20,40,226,3.1,4.3,1.47,11.43,6.67,257,1016.8,15.4,999.0,12.7,99,99
6021,2020,2,11,21,40,236,2.5,3.3,1.53,14.81,6.65,243,1016.6,15.6,999.0,12.8,99,99
6027,2020,2,11,22,40,252,1.9,2.8,1.56,12.12,6.95,267,1016.5,15.7,999.0,13.1,99,99
6033,2020,2,11,23,40,266,1.8,2.8,1.57,11.43,6.84,264,1016.1,15.7,999.0,13.3,99,99
6039,2020,2,12,0,40,258,2.4,3.4,1.32,14.81,6.25,262,1015.9,15.5,999.0,12.9,99,99
6045,2020,2,12,1,40,253,3.0,3.9,1.29,11.43,6.93,258,1016.4,15.2,999.0,12.4,99,99
6051,2020,2,12,2,40,258,3.3,4.1,1.2,14.81,6.62,228,1017.0,15.0,999.0,12.5,99,99
6057,2020,2,12,3,40,272,2.8,3.9,1.22,11.43,7.01,266,1017.3,14.8,999.0,13.0,99,99
6063,2020,2,12,4,40,267,2.3,3.2,1.3,10.81,7.46,265,1017.6,14.7,999.0,12.9,99,99
6069,2020,2,12,5,40,177,0.7,1.3,1.32,10.81,7.85,269,1018.1,14.5,999.0,12.8,99,99
6075,2020,2,12,6,40,200,0.8,1.3,1.36,16.0,7.82,258,1018.4,14.3,999.0,12.7,99,99
6081,2020,2,12,7,40,254,3.3,4.6,1.37,10.81,8.1,265,1018.6,14.1,999.0,12.4,99,99
6087,2020,2,12,8,40,203,1.1,1.8,1.28,11.43,7.5,284,1018.1,14.0,999.0,11.9,99,99
6093,2020,2,12,9,40,190,1.3,2.5,1.38,10.81,7.79,280,1018.1,13.8,999.0,11.8,99,99
6099,2020,2,12,10,40,200,1.8,2.5,1.44,10.81,7.71,285,1017.7,13.6,999.0,11.7,99,99
6105,2020,2,12,11,40,201,2.0,3.3,1.26,13.79,7.26,225,1017.5,13.5,999.0,11.7,99,99
6111,2020,2,12,12,40,188,1.6,3.0,1.22,14.81,6.96,266,1017.6,13.4,999.0,11.6,99,99
6117,2020,2,12,13,40,203,1.9,2.5,1.12,14.81,7.4,258,1017.9,13.3,999.0,11.4,99,99
6123,2020,2,12,14,40,211,1.5,2.2,1.01,13.79,7.4,254,1018.1,13.2,999.0,11.4,99,99
6129,2020,2,12,15,40,203,2.9,4.1,1.01,14.81,7.62,235,1018.7,13.3,999.0,11.4,99,99
6135,2020,2,12,16,40,222,2.6,3.5,0.97,13.79,7.44,212,1019.7,13.4,999.0,11.0,99,99
6141,2020,2,12,17,40,232,3.7,4.7,1.05,13.79,7.8,236,1020.1,13.6,999.0,10.9,99,99
6147,2020,2,12,18,40,230,3.6,4.5,1.12,14.81,7.92,246,1020.7,13.7,999.0,10.9,99,99
6153,2020,2,12,19,40,233,3.4,4.4,1.05,13.79,7.57,257,1020.3,13.9,999.0,11.0,99,99
6159,2020,2,12,20,40,230,3.3,4.2,1.01,14.81,7.28,250,1019.5,14.0,999.0,10.9,99,99
6165,2020,2,12,21,40,248,2.9,3.7,1.14,16.0,7.67,264,1019.2,14.1,999.0,10.9,99,99
6171,2020,2,12,22,40,247,2.1,3.2,1.13,12.9,7.73,252,1018.5,14.0,999.0,10.5,99,99
6177,2020,2,12,23,40,220,1.0,1.9,1.11,13.79,7.65,246,1018.0,14.2,999.0,10.5,99,99
6183,2020,2,13,0,40,179,0.6,1.2,1.1,16.0,7.88,256,1017.8,14.2,999.0,10.3,99,99
6189,2020,2,13,1,40,205,0.3,0.9,0.96,13.79,7.91,229,1017.8,13.7,999.0,10.3,99,99
6195,2020,2,13,2,40,228,0.3,1.2,0.95,16.0,8.2,248,1018.1,13.4,999.0,10.5,99,99
6201,2020,2,13,3,40,276,0.8,1.5,0.97,13.79,8.49,255,1018.4,13.4,999.0,10.6,99,99
6207,2020,2,13,4,40,226,1.4,2.2,0.95,17.39,8.36,252,1018.6,13.3,999.0,10.6,99,99
6213,2020,2,13,5,40,240,1.3,2.2,1.0,14.81,8.62,244,1018.9,13.3,999.0,10.7,99,99
6219,2020,2,13,6,40,212,1.4,2.8,1.1,16.0,9.07,261,1018.9,13.3,999.0,10.6,99,99
6225,2020,2,13,7,40,242,1.0,1.8,1.15,17.39,9.35,241,1018.5,13.2,999.0,10.1,99,99
6231,2020,2,13,8,40,112,0.0,0.3,1.11,17.39,8.85,252,1018.3,13.0,999.0,10.1,99,99
6237,2020,2,13,9,40,317,0.9,1.7,1.21,13.79,9.07,240,1018.1,13.1,999.0,10.1,99,99
6243,2020,2,13,10,40,314,1.8,2.9,1.15,17.39,9.02,295,1017.9,13.1,999.0,10.2,99,99
6249,2020,2,13,11,40,285,1.9,3.0,0.99,17.39,8.4,277,1017.7,13.1,999.0,10.3,99,99
6255,2020,2,13,12,40,314,1.9,3.2,1.08,17.39,8.83,272,1017.5,13.1,999.0,10.2,99,99
6261,2020,2,13,13,40,329,2.8,4.2,1.17,17.39,9.09,254,1017.9,13.2,999.0,10.6,99,99
6267,2020,2,13,14,40,330,2.4,3.2,0.99,14.81,9.02,249,1018.6,13.2,999.0,10.3,99,99
6273,2020,2,13,15,40,284,1.7,2.7,1.09,16.0,9.45,245,1019.0,13.3,999.0,10.3,99,99
6279,2020,2,13,16,40,277,2.0,3.3,1.13,14.81,9.77,230,1019.4,13.5,999.0,10.3,99,99
6285,2020,2,13,17,40,329,1.2,2.6,1.13,16.0,10.02,284,1019.5,13.6,999.0,10.2,99,99
6291,2020,2,13,18,40,17,1.5,2.3,1.42,16.0,10.72,264,1019.3,13.8,999.0,9.9,99,99
6297,2020,2,13,19,40,6,1.6,2.3,1.22,14.81,9.57,259,1018.9,14.2,999.0,10.1,99,99
6303,2020,2,13,20,40,339,3.0,4.5,1.23,10.81,9.14,285,1017.9,14.4,999.0,10.4,99,99
6309,2020,2,13,21,40,327,3.9,5.0,1.3,16.0,9.73,271,1017.2,14.2,999.0,10.9,99,99
6315,2020,2,13,22,40,309,3.4,4.5,1.48,16.0,9.71,274,1016.9,14.0,999.0,10.6,99,99
6321,2020,2,13,23,40,307,3.4,4.6,1.43,16.0,9.27,253,1016.4,14.2,999.0,10.7,99,99
6327,2020,2,14,0,40,302,3.6,4.5,1.29,16.0,8.81,265,1016.3,14.1,999.0,11.1,99,99
6333,2020,2,14,1,40,296,4.5,5.6,1.27,14.81,9.07,244,1016.3,13.7,999.0,11.0,99,99
6339,2020,2,14,2,40,301,5.3,6.6,0.94,14.81,7.4,251,1016.7,13.7,999.0,11.4,99,99
6345,2020,2,14,3,40,309,5.1,6.2,1.02,14.81,7.47,238,1017.1,13.7,999.0,11.2,99,99
6351,2020,2,14,4,40,303,4.7,5.8,1.07,14.81,7.68,261,1017.5,13.7,999.0,11.2,99,99
6357,2020,2,14,5,40,301,3.8,4.8,1.19,16.0,8.53,255,1018.0,13.9,999.0,11.5,99,99
6363,2020,2,14,6,40,292,3.9,4.9,1.15,16.0,8.36,241,1018.0,13.7,999.0,11.1,99,99
6369,2020,2,14,7,40,302,3.8,4.9,1.06,14.81,7.74,255,1017.8,13.6,999.0,10.7,99,99
6375,2020,2,14,8,40,303,4.0,4.9,1.22,13.79,7.51,245,1017.5,13.6,999.0,10.7,99,99
6381,2020,2,14,9,40,300,4.0,5.0,1.17,14.81,7.21,254,1017.1,13.6,999.0,10.8,99,99
6387,2020,2,14,10,40,315,3.2,4.4,1.37,14.81,8.06,278,1017.0,13.6,999.0,10.9,99,99
6393,2020,2,14,11,40,325,2.8,4.1,1.15,13.79,7.54,219,1017.1,13.6,999.0,10.7,99,99
6399,2020,2,14,12,40,300,3.3,5.0,1.32,14.81,8.0,260,1017.5,13.7,999.0,10.6,99,99
6405,2020,2,14,13,40,310,3.0,4.4,1.24,14.81,7.59,243,1017.6,13.3,999.0,10.4,99,99
6411,2020,2,14,14,40,318,2.5,3.4,1.13,14.81,7.84,253,1017.9,13.2,999.0,10.1,99,99
6417,2020,2,14,15,40,278,1.4,3.0,1.01,14.81,7.6,242,1018.4,13.3,999.0,10.2,99,99
6428,2020,2,14,17,40,323,2.3,3.2,1.13,14.81,8.52,235,1019.2,13.5,999.0,9.6,99,99
6434,2020,2,14,18,40,299,2.3,3.2,1.12,13.79,8.67,264,1019.6,13.7,999.0,10.0,99,99
6440,2020,2,14,19,40,317,2.7,4.0,1.01,14.81,8.44,244,1019.0,13.7,999.0,10.0,99,99
